strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
USA/CT-Yale-008/2020	EPI_ISL_416422	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-009/2020	EPI_ISL_416423	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-010/2020	EPI_ISL_416424	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-001/2020	EPI_ISL_416416	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al
Spain/Valencia8/2020	EPI_ISL_416487	MT233523	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Giuseppe D'Auria et al
Spain/Valencia6/2020	EPI_ISL_416485	MT233521	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Griselda De Marco et al
Hangzhou/HZ-1/2020	EPI_ISL_406970	MT039873	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	Hua et al
China/IQTC04/2020	?	MT123292	unknown	Technology Centre, Guangzhou Customs	Huang,J., Shi,Y., Sun,J., Zheng,K., Zhu,A., Sun,F., Zhuang,Z., Dai,J., Zhang,Z., Huang,S., Wang,Y., Li,X.
Pakistan/Gilgit1/2020	EPI_ISL_417444	MT240479	unknown	Department of Healthcare Biotechnology	Javed et al
Beijing/105/2020	EPI_ISL_413518	MT135041	unknown	Infectious Disease Control Center	Li et al
Beijing/231/2020	EPI_ISL_413519	MT135042	unknown	Infectious Disease Control Center	Li et al
Beijing/233/2020	EPI_ISL_413520	MT135043	unknown	Infectious Disease Control Center	Li et al
Beijing/235/2020	EPI_ISL_413521	MT135044	unknown	Infectious Disease Control Center	Li et al
USA/IL2/2020	EPI_ISL_410045	MT044257	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al
China/WH-09/2020	EPI_ISL_411957	MT093631	unknown	Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science	Linlin et al
Colombia/79256/2020	EPI_ISL_417924	MT256924	Secretaria de Salud Medellin	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Marcela Mercado-Reyes et al
Spain/Valencia4/2020	EPI_ISL_416483	MT233520	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al
Spain/Valencia9/2020	EPI_ISL_417205	MT256917	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al
Spain/Valencia10/2020	EPI_ISL_417206	MT256918	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al
Spain/Valencia5/2020	EPI_ISL_416484	MT233519	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Dolores Ocete et al
Spain/Valencia2/2020	EPI_ISL_414496	MT198651	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	Navarro et al
Spain/Valencia3/2020	EPI_ISL_414598	MT198652	Servicio Microbiologia, Hospital Clinico Universitario, Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health.	Navarro et al
Spain/Valencia1/2020	EPI_ISL_414495	MT198653	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	Navarro et al
Spain/Valencia7/2020	EPI_ISL_416486	MT233522	Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Neris Garcia-Gonzalez et al
Vietnam/19-02S/2020	EPI_ISL_418267	MT192773	unknown	Microbiology and Immunology department	Nguyen et al
USA/MA1/2020	EPI_ISL_409067	MT039888	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Paden et al
USA/MN2-MDH2/2020	EPI_ISL_414589	MT188340	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al
USA/MN3-MDH3/2020	EPI_ISL_414590	MT188339	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al
India/166/2020	?	MT050493	unknown	Maximum Containment Laboratory, National Institute of Virology, Pashan, Pune, Maharashtra 411021, India	Potdar,V., Choudhary,M., Yadav,P.D., Shete-Aich,A.
USA/CA3/2020	EPI_ISL_408008	MT027062	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/CA4/2020	EPI_ISL_408009	MT027063	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/CA7/2020	EPI_ISL_411954	MT106052	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/CA8/2020	EPI_ISL_411955	MT106053	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/TX1/2020	EPI_ISL_411956	MT106054	Texas Department of State Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/WA1/2020	EPI_ISL_404895	MN985325	Providence Regional Medical Center	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
USA/CA9/2020	EPI_ISL_412862	MT118835	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
Wuhan/IPBCAMS-WH-01/2019	EPI_ISL_402123	MT019529	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al
Wuhan/IPBCAMS-WH-02/2019	EPI_ISL_403931	MT019530	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al
Wuhan/IPBCAMS-WH-03/2019	EPI_ISL_403930	MT019531	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al
Wuhan/IPBCAMS-WH-04/2019	EPI_ISL_403929	MT019532	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al
USA/WA3-UW1/2020	EPI_ISL_413025	MT163716	Harborview Medical Center	UW Virology Lab	Roychoudhury et al
USA/WA4-UW2/2020	EPI_ISL_413455	MT163717	Washington State Public Health Lab	University of Washington Virology Lab	Roychoudhury et al
USA/WA6-UW3/2020	EPI_ISL_413457	MT163718	Washington State Public Health Lab	UW Virology Lab	Roychoudhury et al
USA/WA7-UW4/2020	EPI_ISL_413458	MT163719	Washington State Public Health Lab	UW Virology Lab	Roychoudhury et al
USA/WA8-UW5/2020	EPI_ISL_413486	MT163720	Valley Medical Center	University of Washington Virology Lab	Roychoudhury et al
USA/WA9-UW6/2020	EPI_ISL_413487	MT163721	Harborview Medical Center	University of Washington Virology Lab	Roychoudhury et al
USA/WA-UW197/2020	EPI_ISL_417346	MT246454	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW198/2020	EPI_ISL_417347	MT246455	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW200/2020	EPI_ISL_417349	MT246457	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW201/2020	EPI_ISL_417350	MT246458	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW202/2020	EPI_ISL_417351	MT246459	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW203/2020	EPI_ISL_417352	MT246460	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW215/2020	EPI_ISL_417364	MT246472	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW192/2020	EPI_ISL_417341	MT246449	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW193/2020	EPI_ISL_417342	MT246450	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW194/2020	EPI_ISL_417343	MT246451	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW195/2020	EPI_ISL_417344	MT246452	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW196/2020	EPI_ISL_417345	MT246453	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW199/2020	EPI_ISL_417348	MT246456	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW204/2020	EPI_ISL_417353	MT246461	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW205/2020	EPI_ISL_417354	MT246462	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW206/2020	EPI_ISL_417355	MT246463	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW207/2020	EPI_ISL_417356	MT246464	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW208/2020	EPI_ISL_417357	MT246465	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW209/2020	EPI_ISL_417358	MT246466	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW213/2020	EPI_ISL_417362	MT246470	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW218/2020	EPI_ISL_417367	MT246475	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW219/2020	EPI_ISL_417368	MT246476	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW222/2020	EPI_ISL_417371	MT246479	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW223/2020	EPI_ISL_417372	MT246480	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW224/2020	EPI_ISL_417373	MT246481	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW243/2020	EPI_ISL_418028	MT259235	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW251/2020	EPI_ISL_418036	MT259243	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW254/2020	EPI_ISL_418039	MT259246	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW257/2020	EPI_ISL_418042	MT259249	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW264/2020	EPI_ISL_418049	MT259256	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW266/2020	EPI_ISL_418051	MT259258	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW271/2020	EPI_ISL_418056	MT259263	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW272/2020	EPI_ISL_418057	MT259264	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW273/2020	EPI_ISL_418058	MT259265	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW274/2020	EPI_ISL_418059	MT259266	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW276/2020	EPI_ISL_418061	MT259268	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW280/2020	EPI_ISL_418065	MT259272	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW210/2020	EPI_ISL_417359	MT246467	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW211/2020	EPI_ISL_417360	MT246468	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW212/2020	EPI_ISL_417361	MT246469	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW214/2020	EPI_ISL_417363	MT246471	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW216/2020	EPI_ISL_417365	MT246473	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW217/2020	EPI_ISL_417366	MT246474	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW220/2020	EPI_ISL_417369	MT246477	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW221/2020	EPI_ISL_417370	MT246478	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW229/2020	EPI_ISL_417378	MT246486	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW231/2020	EPI_ISL_417380	MT246488	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW232/2020	EPI_ISL_417381	MT246489	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW234/2020	EPI_ISL_417448	MT251977	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW235/2020	EPI_ISL_417449	MT251978	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW236/2020	EPI_ISL_417450	MT251972	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW237/2020	EPI_ISL_417451	MT251973	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW238/2020	EPI_ISL_417452	MT251974	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW239/2020	EPI_ISL_417453	MT251975	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW240/2020	EPI_ISL_417454	MT251976	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW241/2020	EPI_ISL_417455	MT251979	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW242/2020	EPI_ISL_417456	MT251980	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW250/2020	EPI_ISL_418035	MT259242	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW256/2020	EPI_ISL_418041	MT259248	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW258/2020	EPI_ISL_418043	MT259250	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW259/2020	EPI_ISL_418044	MT259251	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW260/2020	EPI_ISL_418045	MT259252	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW270/2020	EPI_ISL_418055	MT259262	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW275/2020	EPI_ISL_418060	MT259267	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW277/2020	EPI_ISL_418062	MT259269	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW284/2020	EPI_ISL_418069	MT259274	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW285/2020	EPI_ISL_418070	MT259275	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW367/2020	EPI_ISL_418934	MT263447	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW225/2020	EPI_ISL_417374	MT246482	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW226/2020	EPI_ISL_417375	MT246483	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW227/2020	EPI_ISL_417376	MT246484	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW228/2020	EPI_ISL_417377	MT246485	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW233/2020	EPI_ISL_417382	MT246490	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW253/2020	EPI_ISL_418038	MT259245	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW279/2020	EPI_ISL_418064	MT259271	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW282/2020	EPI_ISL_418067	MT259273	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW286/2020	EPI_ISL_418071	MT259276	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW287/2020	EPI_ISL_418072	MT259277	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW288/2020	EPI_ISL_418073	MT259278	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW289/2020	EPI_ISL_418074	MT259279	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW290/2020	EPI_ISL_418075	MT259280	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW291/2020	EPI_ISL_418076	MT259281	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW292/2020	EPI_ISL_418077	MT259282	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW293/2020	EPI_ISL_418078	MT259283	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW294/2020	EPI_ISL_418079	MT259284	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW295/2020	EPI_ISL_418080	MT259285	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW296/2020	EPI_ISL_418081	MT259286	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW297/2020	EPI_ISL_418082	MT259287	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW244/2020	EPI_ISL_418029	MT259236	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW245/2020	EPI_ISL_418030	MT259237	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW246/2020	EPI_ISL_418031	MT259238	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW248/2020	EPI_ISL_418033	MT259240	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW249/2020	EPI_ISL_418034	MT259241	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW252/2020	EPI_ISL_418037	MT259244	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW255/2020	EPI_ISL_418040	MT259247	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW261/2020	EPI_ISL_418046	MT259253	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW262/2020	EPI_ISL_418047	MT259254	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW263/2020	EPI_ISL_418048	MT259255	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW265/2020	EPI_ISL_418050	MT259257	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW267/2020	EPI_ISL_418052	MT259259	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW268/2020	EPI_ISL_418053	MT259260	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW269/2020	EPI_ISL_418054	MT259261	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW278/2020	EPI_ISL_418063	MT259270	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW323/2020	EPI_ISL_418890	MT263403	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW339/2020	EPI_ISL_418906	MT263419	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW340/2020	EPI_ISL_418907	MT263420	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW364/2020	EPI_ISL_418931	MT263444	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW325/2020	EPI_ISL_418892	MT263405	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW326/2020	EPI_ISL_418893	MT263406	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW336/2020	EPI_ISL_418903	MT263416	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW303/2020	EPI_ISL_418871	MT263386	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW313/2020	EPI_ISL_418880	MT263394	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW315/2020	EPI_ISL_418882	MT263396	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW327/2020	EPI_ISL_418894	MT263407	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW329/2020	EPI_ISL_418896	MT263409	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW332/2020	EPI_ISL_418899	MT263412	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW382/2020	EPI_ISL_418947	MT263461	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW298/2020	EPI_ISL_418866	MT263381	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW299/2020	EPI_ISL_418867	MT263382	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW301/2020	EPI_ISL_418869	MT263384	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW302/2020	EPI_ISL_418870	MT263385	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW304/2020	EPI_ISL_418872	MT263387	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW305/2020	EPI_ISL_418873	MT263388	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW312/2020	EPI_ISL_418879	MT263393	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW320/2020	EPI_ISL_418887	MT263400	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW321/2020	EPI_ISL_418888	MT263401	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW322/2020	EPI_ISL_418889	MT263402	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW343/2020	EPI_ISL_418910	MT263423	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW379/2020	EPI_ISL_418945	MT263458	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW383/2020	EPI_ISL_418948	MT263462	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW384/2020	EPI_ISL_418949	MT263463	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW385/2020	EPI_ISL_418950	MT263464	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW386/2020	EPI_ISL_418951	MT263465	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW387/2020	EPI_ISL_418952	MT263466	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW388/2020	EPI_ISL_418953	MT263467	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW389/2020	EPI_ISL_418954	MT263468	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW390/2020	EPI_ISL_418955	MT263469	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW300/2020	EPI_ISL_418868	MT263383	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW307/2020	EPI_ISL_418875	MT263390	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW308/2020	EPI_ISL_418876	MT263391	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW310/2020	EPI_ISL_418878	MT263392	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW314/2020	EPI_ISL_418881	MT263395	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW316/2020	EPI_ISL_418883	MT263397	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW317/2020	EPI_ISL_418884	MT263398	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW319/2020	EPI_ISL_418886	MT263399	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW324/2020	EPI_ISL_418891	MT263404	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW328/2020	EPI_ISL_418895	MT263408	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW330/2020	EPI_ISL_418897	MT263410	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW331/2020	EPI_ISL_418898	MT263411	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW333/2020	EPI_ISL_418900	MT263413	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW334/2020	EPI_ISL_418901	MT263414	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW335/2020	EPI_ISL_418902	MT263415	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW337/2020	EPI_ISL_418904	MT263417	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW338/2020	EPI_ISL_418905	MT263418	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW341/2020	EPI_ISL_418908	MT263421	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW342/2020	EPI_ISL_418909	MT263422	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW344/2020	EPI_ISL_418911	MT263424	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW345/2020	EPI_ISL_418912	MT263425	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW346/2020	EPI_ISL_418913	MT263426	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW347/2020	EPI_ISL_418914	MT263427	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW348/2020	EPI_ISL_418915	MT263428	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW349/2020	EPI_ISL_418916	MT263429	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW350/2020	EPI_ISL_418917	MT263430	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW351/2020	EPI_ISL_418918	MT263431	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW352/2020	EPI_ISL_418919	MT263432	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW353/2020	EPI_ISL_418920	MT263433	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW354/2020	EPI_ISL_418921	MT263434	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW355/2020	EPI_ISL_418922	MT263435	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW356/2020	EPI_ISL_418923	MT263436	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW357/2020	EPI_ISL_418924	MT263437	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW358/2020	EPI_ISL_418925	MT263438	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW359/2020	EPI_ISL_418926	MT263439	UW Virology Lab	UW Virology Lab	Roychoudhury et al
USA/WA-UW360/2020	EPI_ISL_418927	MT263440	UW Virology Lab	UW Virology Lab	Roychoudhury et al
